0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
103997,111391,112064,112745,113250,113806,114400,114963,115706,116344,-1,-1,-1,-1,-1,-1,-1,-1,-1
103549,107460,111276,111780,112769,113638,114501,115271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104805,111273,111774,112277,112844,113507,114490,115264,117934,288250,-1,-1,-1,-1,-1,-1,-1,-1,-1
105629,111388,112147,113046,113622,114298,115364,504843,936159,938233,955708,1062152,1063463,1113331,1146466,1149651,1160519,1185256,1209045
104377,111259,111760,112446,113175,114091,114940,118058,183118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103884,111769,112269,112848,113552,114314,114964,116047,221145,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105843,111686,112452,113183,113706,114443,114956,116041,117241,147127,170464,-1,-1,-1,-1,-1,-1,-1,-1
104429,111387,112246,113164,113814,114875,115554,117648,396148,434763,1189284,-1,-1,-1,-1,-1,-1,-1,-1
104348,111392,112331,113024,113621,114199,114965,115545,116116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105135,111274,111774,112277,113045,113811,114319,114972,115565,356606,947486,-1,-1,-1,-1,-1,-1,-1,-1
104711,111395,112061,112927,113620,114184,114895,119494,297583,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30905,104337,111393,112264,113122,113738,114297,114972,116371,119998,212832,-1,-1,-1,-1,-1,-1,-1,-1
104584,111397,112083,113031,113630,114197,114891,117310,190580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103186,111397,112242,113034,113743,114307,114993,115686,116233,116839,548645,-1,-1,-1,-1,-1,-1,-1,-1
104083,111677,112254,113042,113650,114201,114947,117930,124397,237053,673670,977596,1101951,1104844,1122650,1196518,-1,-1,-1
104795,111397,112354,112934,113630,114478,116045,121213,204650,389426,401526,405390,847324,-1,-1,-1,-1,-1,-1
105399,111467,112234,113004,113612,114200,115393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106322,111476,112352,113246,113986,114997,287128,552210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103824,111476,112342,113221,113799,114880,115676,116176,201274,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103301,111395,112202,113358,114258,115456,117894,209569,355816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104704,111686,112430,113056,113634,114209,114894,186320,859168,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104045,111402,112379,113205,114200,114865,180635,886294,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104701,111402,112293,113087,113647,114205,114921,117162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104927,111392,112300,113034,113617,114311,115300,118408,120916,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111401,112359,113169,114108,114885,115435,220018,297056,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105010,111273,111773,112431,113031,113716,114295,114978,115571,122097,362952,-1,-1,-1,-1,-1,-1,-1,-1
104711,111697,112322,113029,113645,114208,114918,116659,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111269,111769,112479,113022,113627,114181,114958,117596,118691,404734,626981,-1,-1,-1,-1,-1,-1,-1,-1
105211,111408,112320,113267,114095,114925,116903,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103578,111385,111886,112479,113391,114296,114896,115561,118574,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105331,111265,111772,112431,113027,113708,114296,114944,116411,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104479,111687,112335,113173,113817,114332,114968,115643,123699,147612,461410,1194097,-1,-1,-1,-1,-1,-1,-1
104380,111774,112373,113040,113632,114209,117406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103199,111388,111892,112654,113619,114317,114996,170560,932727,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104179,111674,112177,112736,113615,114197,114962,115933,117012,1005241,-1,-1,-1,-1,-1,-1,-1,-1,-1
105667,111320,112159,113104,113644,114319,115576,431189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105927,111685,112194,112741,113260,114106,114976,120060,207098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104680,111399,112250,113118,113623,114193,114876,115377,180142,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105178,111299,111874,112448,113212,113816,114481,115561,280166,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104816,111693,112227,113360,114112,117558,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104496,111395,111960,112460,113267,113811,114481,115360,124687,191869,-1,-1,-1,-1,-1,-1,-1,-1,-1
104911,111390,112183,112979,113736,114293,114895,115524,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102947,111414,112112,112878,113432,114142,114774,118818,245132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101218,108350,111389,112092,113133,113710,114210,114986,200027,982225,-1,-1,-1,-1,-1,-1,-1,-1,-1
103996,111400,112095,112937,113628,114305,114980,202884,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104668,111683,112227,113033,113634,114182,114895,116913,118075,617643,-1,-1,-1,-1,-1,-1,-1,-1,-1
105417,111767,112448,113030,113621,114198,114866,115679,122002,191176,418898,-1,-1,-1,-1,-1,-1,-1,-1
104059,111402,112147,113023,113613,114199,114882,115464,116628,171322,204379,395811,723135,-1,-1,-1,-1,-1,-1
