0,1,2,3,4,5,6,7,8,9,10,11
111504,116803,121937,135505,142409,147492,153361,159071,169887,179796,-1,-1
111481,116792,121861,127440,152675,164706,-1,-1,-1,-1,-1,-1
111462,116835,121962,137651,143277,148283,163318,168738,174339,-1,-1,-1
111963,117304,122988,140248,154739,160915,168861,-1,-1,-1,-1,-1
111497,116830,121870,128639,133882,141537,151414,158361,-1,-1,-1,-1
111487,116826,121876,135446,140903,149788,155363,162469,-1,-1,-1,-1
111506,116772,121816,135648,141609,155865,162464,167499,183843,-1,-1,-1
111505,116764,121970,133462,146579,152518,158890,-1,-1,-1,-1,-1
111470,116819,121823,127707,135610,143286,149493,158395,165627,-1,-1,-1
111495,116815,122082,131499,141785,150715,159941,166621,173118,-1,-1,-1
111463,116681,121733,139851,146813,157317,163791,171437,-1,-1,-1,-1
111501,116781,121821,133638,138723,144348,155221,165136,170384,-1,-1,-1
111435,116775,121859,126959,132439,138344,145014,150436,168676,173881,179486,-1
111513,116862,121920,155298,163915,170935,177397,182761,192375,-1,-1,-1
111480,116831,121869,134006,139980,150368,194614,200249,210117,-1,-1,-1
111501,116789,121791,131280,137601,143231,148616,155929,168010,178849,-1,-1
111476,116809,121982,130558,136120,144586,151882,170138,176421,183129,-1,-1
111483,116884,121947,134952,140311,146322,156082,172005,184847,192895,-1,-1
111476,116788,121803,129644,136530,145475,154989,169873,178783,189053,-1,-1
111503,116673,121749,137274,146812,154507,162939,-1,-1,-1,-1,-1
